q,gold,must_include,lang
"Under CS 25.813, what access and ease-of-operation requirements apply to exits?",Docs\CS-25 (Amendment 27).pdf:526,exit|access|operation,en
What are the cockpit control requirements under CS 25.777?,Docs\CS-25 (Amendment 27).pdf:461,cockpit|controls|movement,en
"Selon CS 25.705 et AMC, quels essais démontrent la fonction d’alerte de dépassement de piste ?",Docs\CS-25 (Amendment 27).pdf:407,essais|alerte|piste,fr
"Under 21.A.3A, what occurrences must be reported by organisations?",Docs\313A4D_2024-07-01_21.19.12_EAR-for-Initial-Airworthiness-and-Environmental-Protection-Regulation-EU-No-748-2012.pdf:60,occurrence|reporting|21.A.3A,en
Quelles sont les obligations de coordination entre conception et production selon 21.A.4 ?,Docs\313A4D_2024-07-01_21.19.12_EAR-for-Initial-Airworthiness-and-Environmental-Protection-Regulation-EU-No-748-2012.pdf:82,coordination|production,fr
"According to 21.A.7, what are the requirements for Instructions for Continued Airworthiness (ICA)?",Docs\313A4D_2024-07-01_21.19.12_EAR-for-Initial-Airworthiness-and-Environmental-Protection-Regulation-EU-No-748-2012.pdf:88,ICA|continued|airworthiness,en
Quelle est la portée de 21.A.1 (Part 21 – dispositions générales) ?,Docs\313A4D_2024-07-01_21.19.12_EAR-for-Initial-Airworthiness-and-Environmental-Protection-Regulation-EU-No-748-2012.pdf:60,portée|Part 21,fr
What is the process for the application for a type-certificate under 21.A.15?,Docs\313A4D_2024-07-01_21.19.12_EAR-for-Initial-Airworthiness-and-Environmental-Protection-Regulation-EU-No-748-2012.pdf:111,type-certificate|application,en
"Selon l’article 7, quelles sont les conditions d’un permis de vol (permit to fly) ?",Docs\313A4D_2024-07-01_21.19.12_EAR-for-Initial-Airworthiness-and-Environmental-Protection-Regulation-EU-No-748-2012.pdf:49,permis|vol,fr
"Under 21.A.20, how is compliance with the certification basis demonstrated?",Docs\313A4D_2024-07-01_21.19.12_EAR-for-Initial-Airworthiness-and-Environmental-Protection-Regulation-EU-No-748-2012.pdf:131,compliance|certification|basis,en
Quelles sont les exigences relatives aux organisations de conception (article 8) ?,Docs\313A4D_2024-07-01_21.19.12_EAR-for-Initial-Airworthiness-and-Environmental-Protection-Regulation-EU-No-748-2012.pdf:50,organisation|conception,fr
